,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Seats,Price,Company
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,5.0,5.5,Ford
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,7.0,8.1,Mahindra
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,5.0,3.5,Honda
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,5.0,2.79,Volkswagen
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,5.0,3.45,Hyundai
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,5.0,4.45,Maruti
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,5.0,2.65,Volkswagen
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,5.0,3.8,Hyundai
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,5.0,4.65,Hyundai
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,7.0,3.95,Datsun
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,5.0,9.8,Audi
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,5.0,2.7,Hyundai
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,5.0,2.41,Maruti
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,5.0,3.9,Toyota
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,5.0,24.0,Jaguar
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,7.0,5.75,Mahindra
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,5.0,5.25,Hyundai
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,7.0,19.25,Toyota
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,5.0,3.91,Maruti
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,4.0,2.15,Tata
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,5.0,20.75,BMW
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,5.0,3.35,Honda
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,7.0,11.11,Toyota
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,5.0,20.0,Volvo
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,5.0,6.55,Nissan
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,5.0,7.0,BMW
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,5.0,7.5,Maruti
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,5.0,0.85,Hyundai
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,5.0,16.75,Mercedes-Benz
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,5.0,10.95,Hyundai
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,5.0,2.45,Maruti
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,4.0,3.23,Tata
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,8.0,7.75,Mahindra
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,5.0,9.35,Mercedes-Benz
127,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,5.0,3.25,Maruti
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,5.0,5.25,Honda
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,5.0,7.25,Volkswagen
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,5.0,7.47,Maruti
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,7.0,13.25,Mahindra
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,5.0,5.81,Maruti
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,5.0,2.6,Maruti
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,2.0,54.0,Mercedes-Benz
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,5.0,11.5,Hyundai
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,5.0,1.6,Maruti
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,5.0,17.22,BMW
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,5.0,6.0,Honda
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,5.0,3.95,Honda
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,5.0,17.95,Mercedes-Benz
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,5.0,3.7,Honda
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,5.0,5.43,Maruti
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,5.0,1.67,Hyundai
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,7.0,13.49,Toyota
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,5.0,2.85,Chevrolet
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,5.0,4.75,Skoda
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,5.0,9.9,Maruti
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,4.0,37.0,Audi
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,5.0,26.5,BMW
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,5.0,23.32,Audi
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,5.0,6.25,Maruti
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,5.0,30.0,Mercedes-Benz
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,5.0,9.86,Skoda
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,5.0,8.5,Skoda
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,5.0,4.23,Hyundai
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,5.0,3.5,Volkswagen
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,5.0,2.5,Datsun
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,5.0,2.39,Honda
159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,5.0,11.25,Mercedes-Benz
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,5.0,7.11,Honda
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,7.0,10.9,Toyota
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,5.0,6.2,Maruti
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,7.0,7.9,Mahindra
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,5.0,4.42,Ford
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,7.0,13.5,Toyota
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,5.0,6.25,Volkswagen
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,5.0,2.1,Ford
168,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,5.0,45.0,BMW
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,5.0,33.66,Mercedes-Benz
170,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,5.0,3.65,Honda
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,5.0,2.75,Hyundai
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,5.0,42.5,Mercedes-Benz
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,5.0,6.5,Hyundai
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,5.0,19.0,Audi
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,5.0,4.45,Volkswagen
176,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,5.0,23.0,Mini
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,5.0,8.35,Hyundai
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,5.0,22.95,Audi
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,5.0,1.5,Chevrolet
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,5.0,6.89,Skoda
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,5.0,1.45,Ford
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,5.0,33.5,BMW
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,5.0,1.25,Chevrolet
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,5.0,4.2,Volkswagen
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,8.0,6.75,Renault
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,5.0,32.0,Mercedes-Benz
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,5.0,7.5,Maruti
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,5.0,4.6,Hyundai
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,5.0,4.04,Hyundai
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,7.0,10.31,Mahindra
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,5.0,55.76,Land
192,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,5.0,2.6,Ford
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,7.0,8.5,Maruti
194,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,5.0,3.5,Honda
195,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,5.0,3.55,Hyundai
196,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,5.0,3.25,Honda
197,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,5.0,4.5,Skoda
198,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,5.0,5.35,Renault
199,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,7.0,6.5,Mahindra
200,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,5.0,9.0,Maruti
201,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,5.0,6.0,Hyundai
202,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,5.0,2.75,Skoda
203,Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,5.0,1.5,Tata
204,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,5.0,19.9,Audi
205,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Petrol,Automatic,5.0,10.0,Skoda
206,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,5.0,3.0,Toyota
207,Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,5.0,11.96,Mercedes-Benz
208,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,5.0,3.25,Honda
209,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,5.0,4.75,Hyundai
210,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,5.0,5.95,Renault
211,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Petrol,Manual,5.0,8.15,Hyundai
212,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,5.0,4.22,Maruti
213,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,Petrol,Automatic,5.0,10.5,Mercedes-Benz
214,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,Diesel,Automatic,5.0,45.0,Audi
215,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,5.0,2.9,Hyundai
216,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Petrol,Automatic,5.0,8.9,Skoda
217,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,5.0,26.0,Skoda
218,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Petrol,Manual,5.0,8.22,Hyundai
219,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,5.0,3.5,Honda
220,Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,5.0,1.25,Maruti
221,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,5.0,3.7,Mahindra
222,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,Diesel,Automatic,5.0,39.41,Mercedes-Benz
223,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,5.0,2.65,Maruti
224,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Diesel,Manual,5.0,8.92,Nissan
225,Maruti Swift VDI BSIV,Delhi,2013,47000,Diesel,Manual,5.0,4.1,Maruti
226,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,4.0,35.67,Mini
227,Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,5.0,0.85,Tata
228,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,5.0,3.32,Chevrolet
229,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,5.0,3.6,Volkswagen
230,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,5.0,6.8,Maruti
231,Ford Figo Diesel EXI,Kolkata,2012,41284,Diesel,Manual,5.0,2.5,Ford
232,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,7.0,19.64,Toyota
233,Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,Diesel,Automatic,7.0,7.0,Hyundai
234,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,5.0,3.87,Honda
235,Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,Petrol,Manual,5.0,6.27,Hyundai
236,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,55980,Diesel,Automatic,5.0,18.12,Mercedes-Benz
237,Chevrolet Beat Diesel LT,Mumbai,2013,74000,Diesel,Manual,5.0,2.65,Chevrolet
238,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,Diesel,Manual,5.0,7.2,Hyundai
239,Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,121374,Diesel,Manual,7.0,14.3,Toyota
240,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,7.0,6.9,Maruti
241,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,118000,Diesel,Manual,7.0,10.75,Toyota
242,Hyundai Santro Xing XO eRLX Euro II,Mumbai,2007,72000,Petrol,Manual,5.0,0.95,Hyundai
243,Honda City i VTEC V,Kochi,2016,33915,Petrol,Manual,5.0,8.09,Honda
244,BMW X1 sDrive20d,Ahmedabad,2014,82002,Diesel,Automatic,5.0,18.5,BMW
245,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,Diesel,Manual,5.0,4.75,Hyundai
246,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,Diesel,Manual,5.0,8.45,Maruti
247,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,Diesel,Manual,5.0,3.5,Skoda
248,Hyundai Accent CRDi,Kochi,2006,160538,Diesel,Manual,5.0,1.8,Hyundai
249,Volkswagen Polo GT 1.5 TDI,Jaipur,2014,60000,Diesel,Manual,5.0,3.7,Volkswagen
250,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,49575,Petrol,Manual,5.0,7.17,Honda
251,Hyundai i10 Era,Jaipur,2010,83000,Petrol,Manual,5.0,1.75,Hyundai
252,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,Diesel,Automatic,5.0,21.99,Hyundai
253,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,7.0,18.65,Toyota
